BOROUGH,total_permits,avg_days_filing_to_issuance,total_approved,avg_days_approved_to_issued,total_complaints,avg_days_to_close
Bronx,3659.0,11.212626400655918,1466.0,268.10709413369716,4439,52.21198468123451
Brooklyn,8142.0,7.9201670351265046,4683.0,252.25603245782617,7691,64.65648160187231
Manhattan,5278.0,9.056271314892005,6025.0,189.02539419087137,4826,29.29382511396602
Queens,7781.0,6.516771623184681,2781.0,233.8942826321467,7797,112.37360523278184
Staten Island,2464.0,3.7905844155844157,819.0,266.0732600732601,992,69.05645161290323
,,,,,9,17.333333333333332
